0.795,1.0,27.0,0.0
0.795,5.0,20.0,0.0
0.795,2.0,13.0,0.0
0.795,2.0,14.0,0.0
0.795,0.0,31.0,0.0
0.795,21.0,45.0,0.0
0.795,47.0,32.0,0.0
0.795,45.0,27.0,0.0
0.795,16.0,34.0,0.0
0.795,33.0,16.0,0.0
0.795,12.0,31.0,0.0
0.795,3.0,19.0,0.0
0.795,2.0,37.0,0.0
0.795,4.0,24.0,0.0
0.795,48.0,9.0,0.0
0.79,1.0,26.0,1.0
0.79,6.0,20.0,1.0
0.79,2.0,12.0,1.0
0.79,2.0,13.0,1.0
0.79,0.0,30.0,1.0
0.79,21.0,44.0,1.0
0.79,48.0,32.0,1.0
0.79,45.0,28.0,1.0
0.79,16.0,33.0,1.0
0.79,32.0,16.0,1.0
0.79,11.0,31.0,1.0
0.79,3.0,20.0,1.0
0.79,2.0,38.0,1.0
0.79,4.0,23.0,1.0
0.79,47.0,9.0,1.0
0.785,0.0,26.0,2.0
0.785,7.0,20.0,2.0
0.785,1.0,12.0,2.0
0.785,1.0,13.0,2.0
0.785,0.0,29.0,2.0
0.785,20.0,44.0,2.0
0.785,48.0,33.0,2.0
0.785,46.0,28.0,2.0
0.785,16.0,34.0,2.0
0.785,32.0,15.0,2.0
0.785,12.0,31.0,2.0
0.785,3.0,19.0,2.0
0.785,3.0,38.0,2.0
0.785,4.0,24.0,2.0
0.785,46.0,9.0,2.0
0.78,49.0,26.0,3.0
0.78,7.0,21.0,3.0
0.78,1.0,11.0,3.0
0.78,1.0,12.0,3.0
0.78,0.0,28.0,3.0
0.78,20.0,45.0,3.0
0.78,49.0,33.0,3.0
0.78,47.0,28.0,3.0
0.78,16.0,35.0,3.0
0.78,33.0,15.0,3.0
0.78,12.0,32.0,3.0
0.78,2.0,19.0,3.0
0.78,3.0,39.0,3.0
0.78,5.0,24.0,3.0
0.78,46.0,10.0,3.0
0.775,49.0,25.0,4.0
0.775,6.0,21.0,4.0
0.775,0.0,11.0,4.0
0.775,0.0,12.0,4.0
0.775,1.0,28.0,4.0
0.775,19.0,45.0,4.0
0.775,49.0,32.0,4.0
0.775,47.0,29.0,4.0
0.775,17.0,35.0,4.0
0.775,33.0,14.0,4.0
0.775,12.0,31.0,4.0
0.775,2.0,20.0,4.0
0.775,3.0,38.0,4.0
0.775,5.0,23.0,4.0
0.775,46.0,11.0,4.0
0.77,0.0,25.0,5.0
0.77,5.0,21.0,5.0
0.77,0.0,10.0,5.0
0.77,0.0,11.0,5.0
0.77,1.0,29.0,5.0
0.77,20.0,45.0,5.0
0.77,49.0,31.0,5.0
0.77,47.0,28.0,5.0
0.77,17.0,34.0,5.0
0.77,34.0,14.0,5.0
0.77,12.0,32.0,5.0
